Study_word,thisN,thisTrialN,thisRepN,Studyslider.response,Studyslider.rt,test_word,Reference,old_new,test_textbox.text,testmouse.x,testmouse.y,testmouse.leftButton,testmouse.midButton,testmouse.rightButton,testmouse.time,testmouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,trials.Studyslider.response,trials.Studyslider.rt,Test_Phase.started,TestText.started,test_textbox.started,submit_text.started,testmouse.started,Test_Phase.stopped,trials_2.test_textbox.text,trials_2.testmouse.x,trials_2.testmouse.y,trials_2.testmouse.leftButton,trials_2.testmouse.midButton,trials_2.testmouse.rightButton,trials_2.testmouse.time,trials_2.testmouse.clicked_name,TestText.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,0,0,0,,,cr_i_e,cruise,old,cruise,[np.float64(-0.12)],[np.float64(-0.28375)],[1],[0],[0],[3.978376999963075],['submit_text'],,,,,0,0,0,11,16.433563,,,,,,,,16.4158491,16.433563,16.433563,16.433563,0.012384,20.3944974,cruise,[np.float64(-0.12)],[np.float64(-0.28375)],[1],[0],[0],[3.978376999963075],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,1,1,0,,,_oo_,book,old,took,[np.float64(-0.12)],[np.float64(-0.28375)],[1],[0],[0],[3.615993000101298],['submit_text'],,,,,0,1,1,0,20.4161426,,,,,,,,20.3985186,20.4161426,20.4161426,20.4161426,0.0038456,24.0148255,took,[np.float64(-0.12)],[np.float64(-0.28375)],[1],[0],[0],[3.615993000101298],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,2,2,0,,,c_s_,case,old,case,[np.float64(-0.1125)],[np.float64(-0.30125)],[1],[0],[0],[3.619890599977225],['submit_text'],,,,,0,2,2,10,24.0309102,,,,,,,,24.0168434,24.0309102,24.0309102,24.0309102,0.0019436,27.6369179,case,[np.float64(-0.1125)],[np.float64(-0.30125)],[1],[0],[0],[3.619890599977225],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,3,3,0,,,p_li_e,police,old,police,[np.float64(-0.1125)],[np.float64(-0.30125)],[1],[0],[0],[3.2942956001497805],['submit_text'],,,,,0,3,3,12,27.6620992,,,,,,,,27.6392644,27.6620992,27.6620992,27.6620992,0.0022737,30.9338841,police,[np.float64(-0.1125)],[np.float64(-0.30125)],[1],[0],[0],[3.2942956001497805],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,4,4,0,,,_a_bl_,marble,old,marble,[np.float64(-0.0775)],[np.float64(-0.30875)],[1],[0],[0],[6.0102020998019725],['submit_text'],,,,,0,4,4,3,30.9603375,,,,,,,,30.939127,30.9603375,30.9603375,30.9603375,0.0050923,36.9497497,marble,[np.float64(-0.0775)],[np.float64(-0.30875)],[1],[0],[0],[6.0102020998019725],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,5,5,0,,,p_st_r,poster,old,poster,[np.float64(-0.0725)],[np.float64(-0.30375)],[1],[0],[0],[4.3713377001695335],['submit_text'],,,,,0,5,5,14,36.9749359,,,,,,,,36.952907,36.9749359,36.9749359,36.9749359,0.0029905,41.3245753,poster,[np.float64(-0.0725)],[np.float64(-0.30375)],[1],[0],[0],[4.3713377001695335],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,6,6,0,,,c_m_ra,camera,new,camera,[np.float64(-0.0725)],[np.float64(-0.30375)],[1],[0],[0],[3.998040199978277],['submit_text'],,,,,0,6,6,19,41.3401753,,,,,,,,41.3282617,41.3401753,41.3401753,41.3401753,0.0035298,45.3265395,camera,[np.float64(-0.0725)],[np.float64(-0.30375)],[1],[0],[0],[3.998040199978277],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,7,7,0,,,l_pt_p,laptop,old,laptop,[np.float64(-0.075)],[np.float64(-0.3125)],[1],[0],[0],[5.026991299819201],['submit_text'],,,,,0,7,7,5,45.3382392,,,,,,,,45.328331,45.3382392,45.3382392,45.3382392,0.0017095,50.3557066,laptop,[np.float64(-0.075)],[np.float64(-0.3125)],[1],[0],[0],[5.026991299819201],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,8,8,0,,,k_y_,keys,old,keys,[np.float64(-0.075)],[np.float64(-0.30375)],[1],[0],[0],[4.948333500185981],['submit_text'],,,,,0,8,8,13,50.3855897,,,,,,,,50.3596434,50.3855897,50.3855897,50.3855897,0.0036964,55.3084551,keys,[np.float64(-0.075)],[np.float64(-0.30375)],[1],[0],[0],[4.948333500185981],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
,9,9,0,,,_ho_e,phone,old,phone,[np.float64(-0.03875)],[np.float64(-0.295)],[1],[0],[0],[6.073800399899483],['submit_text'],,,,,0,9,9,2,55.3333827,,,,,,,,55.3125435,55.3333827,55.3333827,55.3333827,0.0038892,61.3866806,phone,[np.float64(-0.03875)],[np.float64(-0.295)],[1],[0],[0],[6.073800399899483],['submit_text'],,3,1,2025-10-16_23h11.39.449,word priming,,2025.1.1,59.5371345,2025-10-16 23h11.46.436427 +0530
